EventID	TotalHits	UniqueHits	Ratio
1589	460	252	0.547826
1592	1600	1295	0.809375
1596	30	30	1
1597	12774	2708	0.211993
1600	2576	2123	0.824146
1604	57	57	1
1606	1315	1003	0.762738
1607	78	12	0.153846
1608	42	7	0.166667
1609	79	49	0.620253
1614	407	263	0.646192
1615	215	29	0.134884
1620	223	223	1
1627	202	33	0.163366
1628	932	239	0.256438
1629	44	44	1
1631	103	103	1
1633	62	62	1
1634	3249	2992	0.920899
1635	492	492	1
1638	182	182	1
1643	9	9	1
1645	2283	1714	0.750767
1646	2381	2333	0.97984
1651	200	98	0.49
1655	10	10	1
1658	873	670	0.767468
1660	1916	1706	0.890397
1663	204	204	1
1668	182	26	0.142857
1670	1965	1831	0.931807
1674	975	595	0.610256
1676	2263	286	0.126381
1679	21	21	1
1680	219	219	1
1681	1461	1338	0.915811
1683	320	67	0.209375
1686	67	58	0.865672
1688	231	33	0.142857
1689	11	11	1
1691	14306	1928	0.134769
1692	621	495	0.797101
1693	17	17	1
1694	180	28	0.155556
1695	19845	3326	0.167599
1696	446	51	0.11435
1697	538	538	1
1699	339	221	0.651917
1700	1406	1198	0.852063
1702	7284	840	0.115321
1706	490	329	0.671429
1707	4687	628	0.133988
1708	1636	1630	0.996333
1709	5191	516	0.0994028
1710	2157	1736	0.804822
1714	8	8	1
1715	1106	1010	0.913201
1716	911	631	0.692645
1717	4273	493	0.115376
1719	272	34	0.125
1722	149	23	0.154362
1723	329	279	0.848024
1724	9458	1244	0.131529
1726	4540	525	0.115639
1727	1109	269	0.242561
1730	25	25	1
1731	85	20	0.235294
1739	932	616	0.660944
1740	5847	1011	0.172909
1741	2401	311	0.129529
1742	8	8	1
1743	15338	861	0.0561351
1747	996	936	0.939759
1748	1075	1075	1
1749	523	523	1
1751	1884	192	0.101911
1760	203	203	1
1762	216	27	0.125
1763	205	205	1
1768	867	867	1
1770	4447	583	0.1311
1773	1470	1259	0.856463
1776	1888	243	0.128708
1777	357	357	1
1778	44	44	1
1781	56	56	1
1783	403	103	0.255583
1786	1495	1075	0.719064
1789	2631	1255	0.477005
1790	1393	147	0.105528
1791	1894	427	0.225449
1792	153	153	1
1793	315	42	0.133333
1796	318	73	0.22956
1799	14305	2343	0.163789
1801	1317	689	0.523159
1802	1375	858	0.624
1806	285	89	0.312281
1810	726	495	0.681818
1812	324	36	0.111111
1814	53	53	1
1817	711	123	0.172996
1818	955	138	0.144503
1820	473	457	0.966173
1821	972	972	1
1822	209	19	0.0909091
1825	1732	1147	0.66224
1826	1053	1053	1
1827	831	560	0.673887
1831	1209	713	0.589744
1836	302	34	0.112583
1837	15	15	1
1838	421	421	1
1840	11	11	1
1841	3033	621	0.204748
1842	36	36	1
1846	30	30	1
1849	175	175	1
1851	202	50	0.247525
1852	126	17	0.134921
1853	982	106	0.107943
1854	2712	1323	0.487832
1855	613	613	1
1858	8834	902	0.102106
1859	2266	246	0.108561
1860	145	145	1
1861	2419	521	0.215378
1863	24	24	1
1865	6	6	1
1869	1290	1290	1
1870	60	60	1
1871	1048	1048	1
1873	376	376	1
1876	488	488	1
1877	617	617	1
1879	159	49	0.308176
1880	5834	639	0.10953
1881	32	32	1
1882	951	124	0.130389
1883	1248	571	0.457532
1887	959	110	0.114703
1889	106	46	0.433962
1890	493	444	0.900609
1892	51	51	1
1893	7370	999	0.13555
1899	1627	912	0.560541
1902	372	372	1
1906	887	103	0.116122
1907	110	38	0.345455
1910	262	133	0.507634
1913	244	244	1
1914	168	21	0.125
1916	15205	2519	0.165669
1917	9	9	1
1920	1918	1908	0.994786
1923	57	24	0.421053
1924	224	224	1
1931	59	18	0.305085
1932	304	304	1
1933	1921	452	0.235294
1934	584	584	1
1935	470	76	0.161702
1938	834	750	0.899281
1941	96	96	1
1943	3428	1632	0.476079
1945	42	6	0.142857
1951	4222	2911	0.689484
1953	1043	1016	0.974113
1954	112	16	0.142857
1955	675	87	0.128889
1956	25	25	1
1960	2282	1671	0.732252
1967	13	13	1
1969	2610	2406	0.921839
1970	850	94	0.110588
1973	273	38	0.139194
1974	183	25	0.136612
1976	322	54	0.167702
1977	8	8	1
1980	21	21	1
1983	1990	1857	0.933166
1984	377	305	0.809019
1985	13	13	1
1987	8730	1014	0.116151
1990	3274	295	0.0901038
1992	1460	950	0.650685
1993	38	38	1
1994	29	29	1
1997	1832	1699	0.927402
1998	17863	2636	0.147568
2002	3464	1293	0.373268
2004	5415	434	0.0801477
2005	398	398	1
2008	51	51	1
2010	144	144	1
2011	69	69	1
2015	141	25	0.177305
2018	1382	1382	1
2021	12704	2330	0.183407
2023	406	80	0.197044
2025	848	152	0.179245
2029	292	187	0.640411
2032	23	23	1
2035	358	161	0.449721
2036	980	980	1
2037	429	60	0.13986
2039	266	56	0.210526
2041	307	43	0.140065
2042	7	7	1
2044	152	19	0.125
2045	7105	859	0.120901
2047	527	373	0.70778
2048	189	36	0.190476
2050	4902	636	0.129743
2051	277	139	0.501805
2052	1492	1492	1
2053	4806	1633	0.339784
2054	15	15	1
2057	4467	1755	0.392881
2058	747	691	0.925033
2060	784	784	1
2061	324	166	0.512346
2063	460	96	0.208696
2069	108	17	0.157407
2070	816	816	1
2073	94	94	1
2074	479	54	0.112735
2078	256	256	1
2079	298	109	0.365772
2080	378	282	0.746032
2081	167	53	0.317365
2083	1193	184	0.154233
2084	1004	875	0.871514
2085	250	34	0.136
2086	71	35	0.492958
2090	34	34	1
2091	690	690	1
2092	209	59	0.282297
2094	326	326	1
2096	3535	3219	0.910608
2097	47	47	1
2098	126	126	1
2099	1065	975	0.915493
2101	49	7	0.142857
2103	1333	1084	0.813203
2105	6249	2548	0.407745
2107	363	363	1
2108	382	105	0.274869
2111	514	442	0.859922
2112	75	21	0.28
2114	1363	1363	1
2116	6484	2036	0.314004
2117	336	42	0.125
2118	28465	2423	0.0851221
